hcc_code,enrollment_segment,coefficient,detail_key,representative_icd
HCC267,CPA,0.338,CPA_HCC267,I2601
HCC267,CPD,0.498,CPD_HCC267,I2601
HCC267,INS,0.245,INS_HCC267,I2601
HCC267,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC267,I2601
HCC267,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC267,I2601
HCC276,CNA,2.531,CNA_HCC276,T8630
HCC276,CND,1.583,CND_HCC276,T8630
HCC276,CFA,2.21,CFA_HCC276,T8630
HCC276,CFD,2.292,CFD_HCC276,T8630
HCC276,CPA,2.961,CPA_HCC276,T8630
HCC276,CPD,1.277,CPD_HCC276,T8630
HCC276,INS,3.085,INS_HCC276,T8630
HCC276,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC276,T8630
HCC276,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC276,T8630
HCC277,CNA,0.998,CNA_HCC277,E840
HCC277,CND,2.818,CND_HCC277,E840
HCC277,CFA,1.34,CFA_HCC277,E840
HCC277,CFD,3.76,CFD_HCC277,E840
HCC277,CPA,0.65,CPA_HCC277,E840
HCC277,CPD,3.829,CPD_HCC277,E840
HCC277,INS,0.873,INS_HCC277,E840
HCC277,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC277,E840
HCC277,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC277,E840
HCC278,CNA,0.818,CNA_HCC278,J84112
HCC278,CND,1.209,CND_HCC278,J84112
HCC278,CFA,0.791,CFA_HCC278,J84112
HCC278,CFD,1.64,CFD_HCC278,J84112
HCC278,CPA,0.65,CPA_HCC278,J84112
HCC278,CPD,0.937,CPD_HCC278,J84112
HCC278,INS,0.873,INS_HCC278,J84112
HCC278,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC278,J84112
HCC278,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC278,J84112
HCC279,CNA,0.818,CNA_HCC279,J4550
HCC279,CND,0.842,CND_HCC279,J4550
HCC279,CFA,0.594,CFA_HCC279,J4550
HCC279,CFD,0.808,CFD_HCC279,J4550
HCC279,CPA,0.65,CPA_HCC279,J4550
HCC279,CPD,0.804,CPD_HCC279,J4550
HCC279,INS,0.873,INS_HCC279,J4550
HCC279,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC279,J4550
HCC279,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC279,J4550
HCC280,CNA,0.319,CNA_HCC280,B4481
HCC280,CND,0.209,CND_HCC280,B4481
HCC280,CFA,0.39,CFA_HCC280,B4481
HCC280,CFD,0.281,CFD_HCC280,B4481
HCC280,CPA,0.321,CPA_HCC280,B4481
HCC280,CPD,0.234,CPD_HCC280,B4481
HCC280,INS,0.312,INS_HCC280,B4481
HCC280,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC280,B4481
HCC280,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC280,B4481
HCC282,CNA,0.44,CNA_HCC282,A481
HCC282,CND,0.362,CND_HCC282,A481
HCC282,CFA,0.538,CFA_HCC282,A481
HCC282,CFD,0.269,CFD_HCC282,A481
HCC282,CPA,0.409,CPA_HCC282,A481
HCC282,CPD,0.173,CPD_HCC282,A481
HCC282,INS,0.353,INS_HCC282,A481
HCC282,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC282,A481
HCC282,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC282,A481
HCC283,CNA,0.204,CNA_HCC283,A065
HCC283,CND,0.0,CND_HCC283,A065
HCC283,CFA,0.131,CFA_HCC283,A065
HCC283,CFD,0.074,CFD_HCC283,A065
HCC283,CPA,0.0,CPA_HCC283,A065
HCC283,CPD,0.0,CPD_HCC283,A065
HCC283,INS,0.0,INS_HCC283,A065
HCC283,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC283,A065
HCC283,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC283,A065
HCC298,CNA,0.336,CNA_HCC298,E08311
HCC298,CND,0.364,CND_HCC298,E08311
HCC298,CFA,0.323,CFA_HCC298,E08311
HCC298,CFD,0.319,CFD_HCC298,E08311
HCC298,CPA,0.327,CPA_HCC298,E08311
HCC298,CPD,0.301,CPD_HCC298,E08311
HCC298,INS,0.545,INS_HCC298,E08311
HCC298,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC298,E08311
HCC298,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC298,E08311
HCC300,CNA,0.596,CNA_HCC300,H353210
