metric_name,dimension,label
avg_call_duration,outreach_outcome,Outreach Outcome
avg_call_duration,primary_care_provider,Primary Care Provider
avg_call_duration,primary_payor,Primary Payor
avg_call_duration,sentiment,Sentiment
avg_cocm_minutes,bh_program_status,BH Program Status
avg_cocm_minutes,bh_provider,BH Provider
avg_cocm_minutes,bh_tier,BH Tier
avg_cocm_minutes,clinic,Clinic
avg_cocm_minutes,has_bh_care_plan,Has BH Care Plan
avg_cocm_minutes,has_next_bh_appointment,Has Next BH Appointment
avg_cocm_minutes,patient_tier,Patient Tier
avg_cocm_minutes,pcp_name,PCP
avg_cocm_minutes,program_name,Program
avg_coder_acceptance_rate,coder_name,Coder
avg_coder_acceptance_rate,department,Department
avg_coder_acceptance_rate,is_reviewed_by_coder,Reviewed by Coder?
avg_coder_acceptance_rate,provider_name,Provider
avg_composite_payout,assigned_clinic,Assigned Clinic
avg_composite_payout,awv_tier,AWV Tier
avg_composite_payout,clinic_standardized,Clinic
avg_composite_payout,hcc_tier,HCC Tier
avg_composite_payout,is_bonus_eligible,Bonus Eligible
avg_composite_payout,next_visit_tier,Next Visit Tier
avg_composite_payout,nps_tier,NPS Tier
avg_composite_payout,provider_name,Provider
avg_composite_payout,provider_type,Provider Type
avg_composite_payout,quality_tier,Quality Tier
avg_data_quality_score,attribution_status,Attribution Status
avg_data_quality_score,clinic,Clinic
avg_data_quality_score,is_active_patient,Active Patient?
avg_data_quality_score,membership_enrollment,Membership Enrollment
avg_data_quality_score,primary_payor,Primary Payor
avg_data_quality_score,risk_tier,Risk Tier
avg_days_since_outreach,attempt_number,Attempt Number
avg_days_since_outreach,call_outcome,Call Outcome
avg_days_since_outreach,campaign_name,Campaign
avg_days_since_outreach,clinic,Clinic
avg_days_since_outreach,failure_category,Failure Category
avg_days_since_outreach,is_escalated_or_negative,Escalated or Negative?
avg_days_since_outreach,outreach_outcome,Outreach Outcome
avg_days_since_outreach,primary_care_provider,Primary Care Provider
avg_days_since_outreach,primary_payor,Primary Payor
avg_days_since_outreach,sentiment,Sentiment
avg_days_since_visit,account_status,Account Status
avg_days_since_visit,aging_bucket,Aging Bucket
avg_days_since_visit,clinic,Clinic
avg_days_since_visit,off_cadence_flag,Off Cadence
avg_days_since_visit,primary_care_provider,PCP
avg_days_since_visit,primary_payor,Primary Payor
avg_days_since_visit,risk_tier,Risk Tier
avg_days_since_visit,workflow_stage,Workflow Stage
avg_days_to_toc,adt_closed_reason,ADT Closed Reason
avg_days_to_toc,adt_disposition,ADT Disposition
avg_days_to_toc,case_status,Case Status
avg_days_to_toc,clinic,Clinic
avg_days_to_toc,exclusion_reason,Exclusion Reason
avg_days_to_toc,hospital,Hospital
avg_days_to_toc,is_excluded,Excluded?
avg_effort_gap,is_currently_on_roster,On Roster?
avg_effort_gap,is_truly_lost,Truly Lost?
avg_effort_gap,is_voluntary,Voluntary Attributed?
avg_effort_gap,mdm_payor_brand,MDM Payor Brand
avg_effort_gap,mdm_payor_category,MDM Payor Category
avg_effort_gap,off_cadence_active,Off Cadence?
avg_effort_gap,operational_segment,Operational Segment
avg_effort_gap,population_segment,Population Segment
avg_effort_gap,preferred_clinic,Clinic
avg_effort_gap,primary_attributed_payor,Primary Attributed Payor
avg_effort_score,is_currently_on_roster,On Roster?
avg_effort_score,is_truly_lost,Truly Lost?
avg_effort_score,is_voluntary,Voluntary Attributed?
avg_effort_score,mdm_payor_brand,MDM Payor Brand
avg_effort_score,mdm_payor_category,MDM Payor Category
avg_effort_score,off_cadence_active,Off Cadence?
avg_effort_score,operational_segment,Operational Segment
avg_effort_score,population_segment,Population Segment
avg_effort_score,preferred_clinic,Clinic
avg_effort_score,primary_attributed_payor,Primary Attributed Payor
avg_gad_latest,bh_program_status,BH Program Status
avg_gad_latest,bh_provider,BH Provider
avg_gad_latest,bh_tier,BH Tier
avg_gad_latest,clinic,Clinic
avg_gad_latest,has_bh_care_plan,Has BH Care Plan
avg_gad_latest,has_next_bh_appointment,Has Next BH Appointment
avg_gad_latest,patient_tier,Patient Tier
avg_gad_latest,pcp_name,PCP
avg_gad_latest,program_name,Program
avg_hcc_rate,assigned_clinic,Assigned Clinic
avg_hcc_rate,awv_tier,AWV Tier
avg_hcc_rate,clinic_standardized,Clinic
avg_hcc_rate,hcc_tier,HCC Tier
avg_hcc_rate,is_bonus_eligible,Bonus Eligible
avg_hcc_rate,next_visit_tier,Next Visit Tier
avg_hcc_rate,nps_tier,NPS Tier
avg_hcc_rate,provider_name,Provider
avg_hcc_rate,provider_type,Provider Type
avg_hcc_rate,quality_tier,Quality Tier
avg_length_of_stay,adt_closed_reason,ADT Closed Reason
avg_length_of_stay,adt_disposition,ADT Disposition
avg_length_of_stay,case_status,Case Status
avg_length_of_stay,clinic,Clinic
avg_length_of_stay,exclusion_reason,Exclusion Reason
avg_length_of_stay,hospital,Hospital
avg_length_of_stay,is_excluded,Excluded?
avg_next_visit_rate,assigned_clinic,Assigned Clinic
avg_next_visit_rate,awv_tier,AWV Tier
avg_next_visit_rate,clinic_standardized,Clinic
avg_next_visit_rate,hcc_tier,HCC Tier
avg_next_visit_rate,is_bonus_eligible,Bonus Eligible
avg_next_visit_rate,next_visit_tier,Next Visit Tier
avg_next_visit_rate,nps_tier,NPS Tier
avg_next_visit_rate,provider_name,Provider
avg_next_visit_rate,provider_type,Provider Type
avg_next_visit_rate,quality_tier,Quality Tier
avg_nps_rating,clinic_name,Clinic Name
avg_nps_rating,insurance_category,Insurance Category
avg_nps_rating,last_appointment_type,Last Appointment Type
avg_nps_rating,measure_code,Measure Code
avg_nps_rating,metric_type,Metric Type
avg_nps_rating,next_appointment_type,Next Appointment Type
avg_nps_rating,nps_category,NPS Category
avg_nps_rating,provider_name,Provider Name
avg_nps_score,assigned_clinic,Assigned Clinic
